Time (EET);EndTime;Open;High;Low;Close;Volume
2020-01-02 01:47:45.346;2020-01-02 01:47:45.346;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 01:47:47.094;2020-01-02 01:47:47.094;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:47:48.506;2020-01-02 01:47:48.506;1518.8;1518.9;1518.8;1518.9;0.00112
2020-01-02 01:47:57.068;2020-01-02 01:47:57.068;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:48:13.243;2020-01-02 01:48:13.243;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:48:42.213;2020-01-02 01:48:42.213;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 01:49:03.885;2020-01-02 01:49:03.885;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 01:49:08.210;2020-01-02 01:49:08.210;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:49:22.333;2020-01-02 01:49:22.333;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 01:49:59.566;2020-01-02 01:49:59.566;1518.7;1518.8;1518.7;1518.8;0.00037
2020-01-02 01:51:41.326;2020-01-02 01:51:41.326;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:51:41.484;2020-01-02 01:51:41.484;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 01:52:13.086;2020-01-02 01:52:13.086;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 01:52:32.085;2020-01-02 01:52:32.085;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 01:53:11.502;2020-01-02 01:53:11.502;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 01:54:33.435;2020-01-02 01:54:33.435;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:54:44.766;2020-01-02 01:54:44.766;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:54:55.788;2020-01-02 01:54:55.788;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:54:59.615;2020-01-02 01:54:59.615;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:55:01.807;2020-01-02 01:55:01.807;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:55:06.941;2020-01-02 01:55:06.941;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:55:35.025;2020-01-02 01:55:35.025;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:56:13.095;2020-01-02 01:56:13.095;1518.8;1518.9;1518.8;1518.9;0.0001
2020-01-02 01:56:15.661;2020-01-02 01:56:15.661;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 01:56:48.427;2020-01-02 01:56:48.427;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 01:56:58.215;2020-01-02 01:56:58.215;1518.7;1518.8;1518.7;1518.8;0.00037
2020-01-02 01:58:15.505;2020-01-02 01:58:15.505;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 01:58:23.592;2020-01-02 01:58:23.592;1518.7;1518.7;1518.6;1518.6;0.00037
2020-01-02 01:58:55.967;2020-01-02 01:58:55.967;1518.6;1518.6;1518.5;1518.5;0.00037
2020-01-02 01:59:03.046;2020-01-02 01:59:03.046;1518.5;1518.6;1518.5;1518.6;0.0001
2020-01-02 01:59:32.489;2020-01-02 01:59:32.489;1518.6;1518.6;1518.5;1518.5;0.00037
2020-01-02 01:59:43.806;2020-01-02 01:59:43.806;1518.5;1518.5;1518.4;1518.4;0.00022
2020-01-02 01:59:44.058;2020-01-02 01:59:44.058;1518.4;1518.5;1518.4;1518.5;0.00037
2020-01-02 01:59:44.108;2020-01-02 01:59:44.108;1518.5;1518.6;1518.5;1518.6;0.0001
2020-01-02 02:00:03.117;2020-01-02 02:00:03.117;1518.6;1518.6;1518.5;1518.5;0.00018
2020-01-02 02:00:03.168;2020-01-02 02:00:03.168;1518.5;1518.5;1518.4;1518.4;0.00018
2020-01-02 02:00:22.395;2020-01-02 02:00:22.395;1518.4;1518.5;1518.4;1518.5;0.00037
2020-01-02 02:00:25.063;2020-01-02 02:00:25.063;1518.5;1518.6;1518.5;1518.6;0.00045
2020-01-02 02:00:26.766;2020-01-02 02:00:26.766;1518.6;1518.7;1518.6;1518.7;0.00037
2020-01-02 02:00:35.179;2020-01-02 02:00:35.179;1518.7;1518.8;1518.7;1518.8;0.0001
2020-01-02 02:00:42.610;2020-01-02 02:00:42.610;1518.8;1518.9;1518.8;1518.9;0.0001
2020-01-02 02:00:48.360;2020-01-02 02:00:48.360;1518.9;1519.0;1518.9;1519.0;0.0001
2020-01-02 02:02:01.133;2020-01-02 02:02:01.133;1519.0;1519.0;1518.9;1518.9;0.0001
2020-01-02 02:02:10.149;2020-01-02 02:02:10.149;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 02:02:16.684;2020-01-02 02:02:16.684;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 02:02:29.014;2020-01-02 02:02:29.014;1518.7;1518.7;1518.6;1518.6;0.00037
2020-01-02 02:02:30.412;2020-01-02 02:02:30.412;1518.6;1518.7;1518.6;1518.7;0.00045
2020-01-02 02:02:51.734;2020-01-02 02:02:51.734;1518.7;1518.8;1518.7;1518.8;0.00037
2020-01-02 02:04:02.198;2020-01-02 02:04:02.198;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 02:04:15.015;2020-01-02 02:04:15.015;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 02:05:09.995;2020-01-02 02:05:09.995;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 02:05:12.161;2020-01-02 02:05:12.161;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 02:05:22.961;2020-01-02 02:05:22.961;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 02:05:43.349;2020-01-02 02:05:43.349;1518.7;1518.7;1518.6;1518.6;0.00037
2020-01-02 02:05:44.439;2020-01-02 02:05:44.439;1518.6;1518.6;1518.5;1518.5;0.00037
2020-01-02 02:05:47.437;2020-01-02 02:05:47.437;1518.5;1518.6;1518.5;1518.6;0.0001
