Time (EET);EndTime;Open;High;Low;Close;Volume;WickPrice;OppositeWickPrice 
2020.01.02 01:00:06.411;2020.01.02 01:00:06.412;1519,25;1519,26;1519,25;1519,26;0;;
2020.01.02 01:00:06.413;2020.01.02 01:00:06.414;1519,26;1519,27;1519,26;1519,27;0;;1519,278
2020.01.02 01:00:06.415;2020.01.02 01:00:06.722;1519,27;1519,28;1519,27;1519,28;0,00037;;
2020.01.02 01:00:06.723;2020.01.02 01:00:06.724;1519,28;1519,29;1519,28;1519,29;0;;
2020.01.02 01:00:06.725;2020.01.02 01:00:06.726;1519,29;1519,3;1519,29;1519,3;0;;
2020.01.02 01:00:06.727;2020.01.02 01:00:06.728;1519,3;1519,31;1519,3;1519,31;0;;
2020.01.02 01:00:06.729;2020.01.02 01:00:06.730;1519,31;1519,32;1519,31;1519,32;0;;
2020.01.02 01:00:06.731;2020.01.02 01:00:06.732;1519,32;1519,33;1519,32;1519,33;0;;
2020.01.02 01:00:06.733;2020.01.02 01:00:06.734;1519,33;1519,34;1519,33;1519,34;0;;
2020.01.02 01:00:06.735;2020.01.02 01:00:06.736;1519,34;1519,35;1519,34;1519,35;0;;
2020.01.02 01:00:06.737;2020.01.02 01:00:06.738;1519,35;1519,36;1519,35;1519,36;0;;
2020.01.02 01:00:06.739;2020.01.02 01:00:06.740;1519,36;1519,37;1519,36;1519,37;0;;
2020.01.02 01:00:06.741;2020.01.02 01:00:06.742;1519,37;1519,38;1519,37;1519,38;0;;
2020.01.02 01:00:06.743;2020.01.02 01:00:06.744;1519,38;1519,39;1519,38;1519,39;0;;1519,398
2020.01.02 01:00:06.745;2020.01.02 01:00:07.041;1519,39;1519,4;1519,39;1519,4;0,00037;;
2020.01.02 01:00:07.042;2020.01.02 01:00:07.043;1519,4;1519,41;1519,4;1519,41;0;;
2020.01.02 01:00:07.044;2020.01.02 01:00:07.045;1519,41;1519,42;1519,41;1519,42;0;;
2020.01.02 01:00:07.046;2020.01.02 01:00:07.047;1519,42;1519,43;1519,42;1519,43;0;;
2020.01.02 01:00:07.048;2020.01.02 01:00:07.049;1519,43;1519,44;1519,43;1519,44;0;;
2020.01.02 01:00:07.050;2020.01.02 01:00:07.051;1519,44;1519,45;1519,44;1519,45;0;;
