Time (EET);Ask;Bid;AskVolume;BidVolume
2020.01.02 01:00:23.365;1520,125;1519,625;0,0001;0,0001
2020.01.02 01:00:23.728;1520,125;1519,655;0,0001;0,0001
2020.01.02 01:00:23.779;1520,205;1519,725;0,0001;0,0001
2020.01.02 01:00:23.844;1520,225;1519,725;0,0001;0,0001
2020.01.02 01:00:23.894;1520,255;1519,765;0,0001;0,0001
2020.01.02 01:00:25.024;1520,215;1519,705;0,0001;0,0001
2020.01.02 01:00:25.139;1520,195;1519,705;0,0001;0,0001
2020.01.02 01:00:25.189;1520,195;1519,595;0,0001;0,0001
2020.01.02 01:00:25.240;1519,975;1519,475;0,0001;0,0001
2020.01.02 01:00:25.391;1520,035;1519,535;0,0001;0,0001
2020.01.02 01:00:25.541;1520,065;1519,575;0,0001;0,0001
2020.01.02 01:00:25.685;1520,085;1519,575;0,0001;0,0001
2020.01.02 01:00:25.786;1520,085;1519,595;0,0001;0,0001
2020.01.02 01:00:26.019;1520,015;1519,515;0,0001;0,0001
2020.01.02 01:00:26.070;1520,045;1519,535;0,0001;0,0001
2020.01.02 01:00:26.120;1520,045;1519,555;0,0001;0,0001
2020.01.02 01:00:26.220;1520,045;1519,535;0,0001;0,0001
2020.01.02 01:00:26.271;1519,955;1519,435;0,0001;0,0001
2020.01.02 01:00:26.321;1519,955;1519,455;0,0001;0,0001
2020.01.02 01:00:27.006;1520,085;1519,595;0,0001;0,0001
2020.01.02 01:00:27.157;1520,145;1519,645;0,0001;0,0001
2020.01.02 01:00:27.258;1520,155;1519,665;0,0001;0,0001
2020.01.02 01:00:27.534;1520,115;1519,635;0,0001;0,0001
2020.01.02 01:00:27.584;1520,135;1519,635;0,0001;0,0001
2020.01.02 01:00:27.701;1520,135;1519,605;0,0001;0,0001
2020.01.02 01:00:27.751;1520,105;1519,605;0,0001;0,0001
2020.01.02 01:00:28.215;1520,115;1519,625;0,0001;0,0001
2020.01.02 01:00:28.497;1520,225;1519,725;0,0001;0,0001
2020.01.02 01:00:29.104;1520,295;1519,795;0,0001;0,0001
2020.01.02 01:00:29.827;1520,265;1519,775;0,0001;0,0001
2020.01.02 01:00:29.878;1520,295;1519,795;0,0001;0,0001
2020.01.02 01:00:31.189;1520,305;1519,815;0,0001;0,0001
2020.01.02 01:00:31.239;1520,345;1519,845;0,0001;0,0001
2020.01.02 01:00:33.320;1520,375;1519,885;0,0001;0,0001
2020.01.02 01:00:33.559;1520,415;1519,925;0,0001;0,0001
2020.01.02 01:00:34.061;1520,385;1519,895;0,0001;0,0001
2020.01.02 01:00:35.724;1520,385;1519,908;0,0001;0,00037
2020.01.02 01:00:35.774;1520,375;1519,895;0,0001;0,0001
2020.01.02 01:00:35.925;1520,465;1519,975;0,0001;0,0001
2020.01.02 01:00:36.249;1520,525;1520,015;0,0001;0,0001
2020.01.02 01:00:36.485;1520,525;1520,025;0,0001;0,0001
2020.01.02 01:00:36.815;1520,605;1520,115;0,0001;0,0001
2020.01.02 01:00:36.865;1520,605;1520,085;0,0001;0,0001
2020.01.02 01:00:36.915;1520,595;1520,095;0,0001;0,0001
2020.01.02 01:00:37.115;1520,605;1520,115;0,0001;0,0001
2020.01.02 01:00:37.381;1520,625;1520,125;0,0001;0,0001
2020.01.02 01:00:37.535;1520,675;1520,165;0,0001;0,0001
2020.01.02 01:00:37.990;1520,675;1520,185;0,0001;0,0001
2020.01.02 01:00:38.499;1520,682;1520,185;0,00037;0,0001
2020.01.02 01:00:38.655;1520,695;1520,185;0,0001;0,0001
2020.01.02 01:00:38.705;1520,765;1520,275;0,0001;0,0001
2020.01.02 01:00:39.714;1520,795;1520,285;0,0001;0,0001
2020.01.02 01:00:39.766;1520,805;1520,315;0,0001;0,0001
2020.01.02 01:00:40.105;1520,845;1520,355;0,0001;0,0001
2020.01.02 01:00:40.868;1520,835;1520,345;0,0001;0,0001
2020.01.02 01:00:41.643;1520,785;1520,285;0,0001;0,0001
2020.01.02 01:00:41.795;1520,655;1520,165;0,0001;0,0001
2020.01.02 01:00:42.693;1520,645;1520,145;0,0001;0,0001
2020.01.02 01:00:43.402;1520,645;1520,115;0,0001;0,0001
2020.01.02 01:00:43.453;1520,525;1520,035;0,0001;0,0001
2020.01.02 01:00:43.503;1520,545;1520,045;0,0001;0,0001
2020.01.02 01:00:44.883;1520,545;1520,035;0,0001;0,0001
2020.01.02 01:00:44.934;1520,545;1520,055;0,0001;0,0001
2020.01.02 01:00:45.395;1520,545;1520,045;0,0001;0,0001
2020.01.02 01:00:48.015;1520,555;1520,045;0,0001;0,0001
2020.01.02 01:00:48.065;1520,555;1520,065;0,0001;0,0001
2020.01.02 01:00:48.414;1520,585;1520,085;0,0001;0,0001
2020.01.02 01:00:48.584;1520,585;1520,105;0,0001;0,0001
2020.01.02 01:00:48.634;1520,605;1520,105;0,0001;0,0001
2020.01.02 01:00:48.685;1520,655;1520,155;0,0001;0,0001
2020.01.02 01:00:49.324;1520,655;1520,175;0,0001;0,0001
2020.01.02 01:00:49.375;1520,665;1520,175;0,0001;0,0001
2020.01.02 01:00:49.635;1520,645;1520,155;0,0001;0,0001
2020.01.02 01:00:50.147;1520,625;1520,115;0,0001;0,0001
2020.01.02 01:00:50.379;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:00:50.898;1520,615;1520,115;0,0001;0,0001
2020.01.02 01:00:51.405;1520,545;1520,055;0,0001;0,0001
2020.01.02 01:00:51.610;1520,535;1520,035;0,0001;0,0001
2020.01.02 01:00:51.954;1520,405;1519,918;0,0001;0,00037
2020.01.02 01:00:52.005;1520,175;1519,515;0,0001;0,0001
2020.01.02 01:00:52.189;1520,175;1519,575;0,0001;0,0001
2020.01.02 01:00:52.294;1520,145;1519,525;0,0001;0,0001
2020.01.02 01:00:52.344;1520,225;1519,665;0,0001;0,0001
2020.01.02 01:00:53.609;1520,225;1519,695;0,0001;0,0001
2020.01.02 01:00:53.778;1520,215;1519,695;0,0001;0,0001
2020.01.02 01:00:54.312;1520,155;1519,575;0,0001;0,0001
2020.01.02 01:00:54.362;1520,155;1519,625;0,0001;0,0001
2020.01.02 01:00:54.463;1520,155;1519,655;0,0001;0,0001
2020.01.02 01:00:54.566;1520,155;1519,625;0,0001;0,0001
2020.01.02 01:00:54.617;1520,175;1519,675;0,0001;0,0001
2020.01.02 01:00:55.371;1520,215;1519,695;0,0001;0,0001
2020.01.02 01:00:55.424;1520,215;1519,725;0,0001;0,0001
2020.01.02 01:00:55.524;1520,225;1519,725;0,0001;0,0001
2020.01.02 01:00:55.761;1520,275;1519,775;0,0001;0,0001
2020.01.02 01:00:56.215;1520,295;1519,795;0,0001;0,0001
2020.01.02 01:00:57.865;1520,345;1519,845;0,0001;0,0001
2020.01.02 01:00:58.804;1520,365;1519,875;0,0001;0,0001
2020.01.02 01:00:59.010;1520,385;1519,895;0,0001;0,0001
2020.01.02 01:01:00.106;1520,385;1519,875;0,0001;0,0001
2020.01.02 01:01:00.156;1520,365;1519,875;0,0001;0,0001
2020.01.02 01:01:00.855;1520,362;1519,875;0,00037;0,0001
2020.01.02 01:01:00.906;1520,195;1519,705;0,0001;0,0001
2020.01.02 01:01:01.097;1520,185;1519,675;0,0001;0,0001
